〇	zero	líng
一根筋	stubborn/inflexible	yī gēn jīn
一桿進洞	(golf) hole in one	yī gān jìn dòng
一桿進洞	(golf) hole in one	yī gān jìn dòng
一條心	be of one mind/to be of one mind	yī tiáo xīn
一概	without exception/categorically	yī gài
一模一样	alike	yī mú yī yàng
一樣	the same/same	yī yàng
一次函数	linear function	yī cì hán shù
一次函數	linear function	yī cì hán shù
一次函數	linear function	yī cì hán shù
一次性	disposable/one-time	yī cì xìng
一次方程	linear equation	yī cì fāng chéng
一步	a step	yī bù
一步一步	step by step	yí bù yí bù
一毛不拔	stingy	yī máo bù bá
一毛不拔	stingy	yī máo bù bá
一气	at a stretch/at one go	yī qì
一气之下	in a fury	yī qì zhī xià
一氣	at a stretch/at one go	yī qì
一氣之下	in a fury	yī qì zhī xià
一氧化碳	carbon monoxide	yī yǎng huà tàn
一決雌雄	compete for a championship	yī jué cí xióng
一清二楚	to be very clear	yī qīng èr chǔ
一清早	early in the morning	yī qīng zǎo
一準	certain	yī zhǔn
一点	a little	yī diǎn
一点一滴	bit by bit/every little bit	yī diǎn yī dī
一点一点	bit by bit	yī diǎn yī diǎn
一点点	a little	yī diǎn diǎn
一片	piece	yī piàn
一生	lifelong	yī shēng
一生一世	one's whole life	yī shēng yī shì
一番	one kind	yī fān
一發不可收拾	get out of hand	yī fā bù kě shōu shi
一發不可收拾	get out of hand	yī fā bù kě shōu shi
一發不可收拾	get out of hand	yī fā bù kě shōu shi
一百	100	yì bǎi
一目了然	be clear at a glance	yī mù liǎo rán
一目了然	be clear at a glance	yī mù liǎo rán
一直	continuously	yī zhí
一直	continuously	yī zhí
一瞥	glance/glimpse	yī piē
一瞬間	a flash	yī shùn jiān
一石二鳥	kill two birds with one stone	yī shí èr niǎo
一石二鸟	kill two birds with one stone	yī shí èr niǎo
一神教	monotheism	yī shén jiào
一神教	monotheism	yī shén jiào
一神論	monotheism	yī shén lùn
一神論	monotheism	yī shén lùn
一神論	monotheism	yī shén lùn
一神论	monotheism	yī shén lùn
一神论	monotheism	yī shén lùn
一秘	first secretary	yī mì
一端	one aspect/one end	yī duān
一笑了之	laugh away	yī xiào liǎo zhī
一笑了之	laugh away	yī xiào liǎo zhī
一笑置之	laugh off	yī xiào zhì zhī
一等奖	first prize	yī děng jiǎng
一等獎	first prize	yī děng jiǎng
一筹莫展	be at wits' end	yī chóu mò zhǎn
一箭双雕	kill two birds with one stone	yī jiàn shuāng diāo
一籌莫展	be at wits' end	yī chóu mò zhǎn
一类	and the like	yī lèi
一类	and the like	yī lèi
一系列	a series of	yī xì liè
一系列	a series of	yī xì liè
一絲一毫	an iota	yī sī yī háo
一經	as soon as	yī jīng
一維	one-dimensional	yī wéi
一線微光	gleam	yī xiàn wēi guāng
一總	altogether	yī zǒng
一线微光	gleam	yī xiàn wēi guāng
一绝	unique	yī jué
一维	one-dimensional	yī wéi
一聲不吭	not say a word	yī shēng bù kēng
一聲不吭	not say a word	yī shēng bù kēng
一臂之力	a helping hand	yī bì zhī lì
一臂之力	a helping hand	yī bì zhī 力
一致	identical/unanimous	yī zhì
一致資源定址器	uniform resource locator	yí zhì zī yuán dìng zhǐ qì
一致資源定址器	uniform resource locator	yí zhì zī yuán dìng zhǐ 器
一致资源定址器	uniform resource locator	yí zhì zī yuán dìng zhǐ qì
一致资源定址器	uniform resource locator	yí zhì zī yuán dìng zhǐ 器
一舉兩得	kill two birds with one stone	yī jǔ liǎng dé
一舉兩得	kill two birds with one stone	yī jǔ liǎng dé
一般	common	yī bān
一般來說	generally speaking	yī bān lái shuō
一般來說	generally speaking	yī bān lái shuō
一般來說	generally speaking	yī bān lái shuō
一般來說	generally speaking	yī bān lái shuō
一般原则	general principle	yī bān yuán zé
一般原則	general principle	yī bān yuán zé
一般性	in general terms	yī bān xìng
一般来说	generally speaking	yī bān lái shuō
一般而言	generally speaking	yī bān ér yán
一般說來	generally speaking	yī bān shuō lái
一般說來	generally speaking	yī bān shuō lái
一般說來	generally speaking	yī bān shuō lái
一般說來	generally speaking	yī bān shuō lái
一般说来	generally speaking	yī bān shuō lái
一萬	ten thousand	yī wàn
一落千丈	big fall/decline	yī luò qiān zhàng
一落千丈	big fall/decline	yī luò qiān zhàng
一行	party/group	yī xíng
一行	party/group	yī xíng
一見鍾情	fall in love at first sight	yī jiàn zhōng qíng
一見鍾情	fall in love at first sight	yī jiàn zhōng qíng
一見鐘情	love at first sight	yī jiàn zhōng qíng
一見鐘情	love at first sight	yī 見 zhōng qíng
一覽表	table; schedule	yī lǎn biǎo
一见钟情	love at first sight	yī jiàn zhōng qíng
一览表	table; schedule	yī lǎn biǎo
一觉醒来	to wake up	yī jiào xǐng lái
一角銀幣	dime	yī jiǎo yín bì
一角银币	dime	yī jiǎo yín bì
一触即发	could happen at any moment	yī chù jí fā
一觸即發	could happen at any moment	yī chù jí fā
一言	one sentence	yī yán
一言一语	every word and phrase	yī yán yī yǔ
一言不发	not say a word	yī yán bù fā
一言不发	not say a word	yī yán bù fā
一言不發	not say a word	yī yán bù fā
一言不發	not say a word	yī yán bù fā
一言堂	says goes	yī yán táng
一語不發	not say a word	yī yǔ bù fā
一語不發	not say a word	yī yǔ bù fā
一語道破	hit the nail on the head	yī yǔ dào pò
一语不发	not say a word	yī yǔ bù fā
一语不发	not say a word	yī yǔ bù fā
一语道破	hit the nail on the head	yī yǔ dào pò
一貧如洗	destitute	yī pín rú xǐ
一貫	consistent/all along/persistent	yī guàn
一败涂地	suffer a crushing defeat	yī bài tú dì
一贯	consistent/all along/persistent	yī guàn
一起	in the same place/together/altogether	yī qǐ
一路	same kind/single file	yī lù
一路	same kind/single file	yī lù
一路平安	Bon voyage!/to have a pleasant journey	yī lù píng ān
一路平安	Bon voyage!/to have a pleasant journey	yī lù píng ān
一身	all over the body	yī shēn
一身汗	sweating all over	yī shēn hàn
一辈子	whole life	yī bèi zi
一边	on the other hand	yī biān
一连	in a row/running/in succession	yī lián
一连串	series/string	yī lián chuàn
一连串	series/string	yī lián chuàn
一連	in a row/running/in succession	yī lián
一連	in a row/running/in succession	yī lián
一連串	series/string	yī lián chuàn
一連串	series/string	yī lián chuàn
一連串	series/string	yī lián chuàn
一遍	one time	yī biàn
一道	together	yī dào
一道菜	a course	yī dào cài
一邊	on the other hand	yī biān
一部分	part of/part	yī bù fen
一醉方休	get good and drunk	yī zuì fāng xiū
一针见血	get it in one	yī zhēn jiàn xiě
一问三不知	know nothing	yī wèn sān bù zhī
一问三不知	know nothing	yī wèn sān bù zhī
一阵	a burst	yī zhèn
一陣	a burst	yī zhèn
一霎	in a flash	yī shà
一霎眼	suddenly/in an instant	yī shà yǎn
一霎間	in a flash	yī shà jiān
一霎间	in a flash	yī shà jiān
一面	simultaneously/one side	yī miàn
一面之詞	one-sided statement	yī miàn zhī cí
一面之词	one-sided statement	yī miàn zhī cí
一面倒	lopsided/one-sided	yī miàn dǎo
一頭	one head/one end	yī tóu
一類	and the like	yī lèi
一類	and the like	yī lèi
一體	all concerned	yī tǐ
一體化	unification/integration	yī tǐ huà
一點	a little	yī diǎn
一點一滴	every little bit	yī diǎn yī dī
一點一點	bit by bit	yī diǎn yī diǎn
一點兒	a little	yī diǎn r
一點點	a little	yī diǎn diǎn
一齊	simultaneously	yī qí
一齐	simultaneously	yī qí
丁	(d)	dīng
丁丁	Tintin	dīng dīng
丁二烯	butadiene	dīng èr xī
丁基	butyl	dīng jī
丁字	T-shape	dīng zì
丁字尺	T-square	dīng zì chǐ
丁尼生	Tennyson	dīng ní shēng
丁曼	Dingman	dīng màn
丁烯	butene	dīng xī
丁烷	butane	dīng wán
丁醇	butanol	dīng chún
丁香	clove/lilac	dīng xiāng
丁香花	lilac	dīng xiāng huā
七	seven/7	qī
㊆	seven/7	qī
七上八下	at sixes and sevens	qī shàng bā xià
七十	seventy/70	qī shí
七台河市	Qitaihe	qī tái hé shì
七巧板	tangram	qī qiǎo bǎn
七彩	seven colours/a variety of colours	qī cǎi
七彩	seven colours/a variety of colours	qī cǎi
七月	July	qī yuè
七步格	heptameter	qī bù gé
七角形	heptagon	qī jiǎo xíng
七边形	heptagon	qī biān xíng
七邊形	heptagon	qī biān xíng
七鰓鰻	lamprey	qī sāi mán
七鳃鳗	lamprey	qī sāi mán
万	ten thousand	mò
万一	contingency/just in case	wàn yī
万万	absolutely	wàn wàn
万丈	bottomless/lofty	wàn zhàng
万世	all ages	wàn shì
万事	all things	wàn shì
万事如意	have all one's wishes	wàn shì rú yì
万事达	Master Card	wàn shì dá
万事达卡	MasterCard	wàn shì dá kǎ
万事通	know-it-all	wàn shì tōng
万人	ten thousand people	wàn rén
万全	Wanquan	wàn quán
万全	Wanquan	wàn quán
万分	extremely	wàn fēn
万千	myriad/multifarious	wàn qiān
万县市	Wanxian	wàn xiàn shì
万古长青	last forever/remain fresh	wàn gǔ cháng qīng
万国	all nations	wàn guó
万国码	Unicode	wàn guó mǎ
万圣节	Halloween	wàn shèng jié
万圣节前夕	Halloween	wàn shèng jié qián xī
万宁	Wanning	wàn níng
万宝路	Marlboro	wàn bǎo lù
万宝路	Marlboro	wàn bǎo lù
万岁	long life	wàn suì
万峦	hundreds and thousands of mountains	wàn luán
万年	Wannian	wàn nián
万年	Wannian	wàn nián
万年历	perpetual calendar	wàn nián lì
万年历	perpetual calendar	wàn nián lì
万应灵丹	panacea	wàn yìng líng dān
万应灵丹	panacea	wàn yìng líng dān
万无一失	surefire	wàn wú yī shī
万有	universal	wàn yǒu
万有引力	gravity	wàn yǒu yǐn lì
万有引力	gravity	wàn yǒu yǐn lì
万民	all the people	wàn mín
万源	Wanyuan	wàn yuán
万源市	Wanyuan	wàn yuán shì
万灵丹	panacea	wàn líng dān
万灵丹	panacea	wàn líng dān
万物	all living things	wàn wù
万用表	multimeter	wàn yòng biǎo
万维网	World Wide Web	wàn wéi wǎng
万能	universal/all-purpose/omnipotent	wàn néng
万般	extremely	wàn bān
万般无奈	have no alternative	wàn bān wú nài
万般无奈	have no alternative	wàn bān wú nài
万花筒	kaleidoscope	wàn huā tǒng
万荣	Wanrong	wàn róng
万象	Vientiane	wàn xiàng
万载	Wanzai	wàn zài
万邦	all nations	wàn bāng
万里长城	Great Wall	wàn lǐ cháng chéng
万里长城	Great Wall	wàn lǐ cháng chéng
万隆	Bandung	wàn lóng
万隆	Bandung	wàn lóng
万难	extremely difficult	wàn nán
万顷	large landholding/vast space/vast	wàn qǐng
万鸦老	Manado	wàn yā lǎo
万鸦老	Manado	wàn yā 老
丈	husband	zhàng
丈人	wife's father	zhàng rén
丈夫	husband	zhàng fu
丈母	mother-in-law/wife's mother	zhàng mǔ
丈母娘	mother-in-law/wife's mother	zhàng mǔ niáng
三	3/three	sān
㊂	3/three	sān
🈪	3/three	sān
🉁	3/three	🉁
三K党	Ku Klux Klan	sān k dǎng
三K黨	Ku Klux Klan	sān k dǎng
三三两两	in twos and threes	sān sān liǎng liǎng
三三兩兩	in twos and threes	sān sān liǎng liǎng
三三兩兩	in twos and threes	sān sān liǎng liǎng
三不知	know nothing	sān bù zhī
三不知	know nothing	sān bù zhī
三两	two or three	sān liǎng
三五	3-5	sān wǔ
三亚	Sanya	sān yà
三亞	Sanya	sān yà
三位一体	trinity	sān wèi yī tǐ
三位一體	trinity	sān wèi yī tǐ
三倍	triple	sān bèi
三兩	two or three	sān liǎng
三兩	two or three	sān liǎng
三八	stupid	sān bā
三军	army	sān jūn
三分之一	one third	sān fēn zhī yī
三十	30/thirty	sān shí
三十二分音符	demisemiquaver	sān shí èr fēn yīn fú
三叉戟	trident	sān chā jǐ
三叉神經	trigeminal/trigeminal nerve	sān chā shén jīng
三叉神經	trigeminal/trigeminal nerve	sān chā shén jīng
三叉神经	trigeminal/trigeminal nerve	sān chā shén jīng
三叉神经	trigeminal/trigeminal nerve	sān chā shén jīng
三句話不離本行	talk shop all the time	sān jù huà bù lí běn háng
三句話不離本行	talk shop all the time	sān jù huà bù lí běn háng
三句話不離本行	talk shop all the time	sān jù huà bù lí běn háng
三句話不離本行	talk shop all the time	sān jù huà bù lí běn háng
三句話不離本行	talk shop all the time	sān jù huà bù lí běn háng
三句话不离本行	talk shop all the time	sān jù huà bù lí běn háng
三句话不离本行	talk shop all the time	sān jù huà bù lí běn háng
三句话不离本行	talk shop all the time	sān jù huà bù lí běn háng
三句话不离本行	talk shop all the time	sān jù huà bù lí běn háng
三只手	pickpocket	sān zhī shǒu
三叶虫	trilobite	sān yè chóng
三合一	three in one	sān hé yī
三合土	mortar	sān hé tǔ
三合星	triple star	sān hé xīng
三国	Three Kingdoms	sān guó
三国演义	Romance of the Three Kingdoms	sān guó yǎn yì
三國	Three Kingdoms	sān guó
三國演義	Romance of the Three Kingdoms	sān guó yǎn yì
三头肌	triceps	sān tóu jī
三头马车	troika	sān tóu mǎ chē
三字經	Three Character Classic	sān zì jīng
三字经	Three Character Classic	sān zì jīng
三尖瓣	tricuspid	sān jiān bàn
三峡大坝	Three Gorges Dam	sān xiá dà bà
三峽大壩	Three Gorges Dam	sān xiá dà bà
三心二意	vacillating	sān xīn èr yì
三思	think three times	sān sī
三振	strikeout/strike out	sān zhèn
三文治	sandwich	sān wén zhì
三文魚	salmon	sān wén yú
三文鱼	salmon	sān wén yú
三明治	sandwich	sān míng zhì
三星	Samsung	sān xīng
三月	March	sān yuè
三朋四友	friends	sān péng sì yǒu
三极真空管	triode	sān jí zhēn kōng guǎn
三极管	triode	sān jí guǎn
三極真空管	triode	sān jí zhēn kōng guǎn
三極管	triode	sān jí guǎn
三段論	syllogism	sān duàn lùn
三段論	syllogism	sān duàn lùn
三段论	syllogism	sān duàn lùn
三氯甲烷	trichloromethane/chloroform	sān lǜ jiǎ wán
三番两次	repeatedly	sān fān liǎng cì
三番兩次	repeatedly	sān fān liǎng cì
三番兩次	repeatedly	sān fān liǎng cì
三等	third class	sān děng
三等分	trisection/trisect	sān děng fēn
三級	third class	sān jí
三級跳	triple jump	sān jí tiào
三維	three dimensional	sān wéi
三維空間	three-dimensional space	sān wéi kōng jiān
三级	third class	sān jí
三级跳	triple jump	sān jí tiào
三维	three dimensional	sān wéi
三维空间	three-dimensional space	sān wéi kōng jiān
三聚氰胺	melamine	sān jù qíng àn
三胞胎	triplets	sān bāo tāi
三脚架	tripod	sān jiǎo jià
三腳架	tripod	sān jiǎo jià
三色堇	pansy	sān sè jǐn
三色紫罗兰	pansy	sān sè zǐ luó lán
三色紫羅蘭	pansy	sān sè zǐ luó lán
三色紫羅蘭	pansy	sān sè zǐ luó lán
三色紫羅蘭	pansy	sān sè zǐ luó lán
三菱	Mitsubishi	sān líng
三菱	Mitsubishi	sān líng
三葉蟲	trilobite	sān yè chóng
三葉蟲	trilobite	sān yè chóng
三藩市	San Francisco	sān fān shì
三角	triangle	sān jiǎo
三角债	triangular debt	sān jiǎo zhài
三角債	triangular debt	sān jiǎo zhài
三角学	trigonometry	sān jiǎo xué
三角學	trigonometry	sān jiǎo xué
三角形	triangle	sān jiǎo xíng
三角恋爱	love triangle	sān jiǎo liàn ài
三角恐龍	triceratops	sān jiǎo kǒng lóng
三角恐龍	triceratops	sān jiǎo kǒng lóng
三角恐龙	triceratops	sān jiǎo kǒng lóng
三角戀愛	love triangle	sān jiǎo liàn ài
三角戀愛	love triangle	sān jiǎo liàn ài
三角板	set square	sān jiǎo bǎn
三角法	trigonometry	sān jiǎo fǎ
三角洲	delta	sān jiǎo zhōu
三角测量	triangulation	sān jiǎo cè liáng
三角测量	triangulation	sān jiǎo cè 量
三角測量	triangulation	sān jiǎo cè liàng
三角測量	triangulation	sān jiǎo cè 量
三角肌	deltoid muscle	sān jiǎo jī
三角腹带	athletic supporter	sān jiǎo fù dài
三角腹帶	athletic supporter	sān jiǎo fù dài
三角裤	panties/briefs	sān jiǎo kù
三角褲	panties/briefs	sān jiǎo kù
三角錐	triangular pyramid	sān jiǎo zhuī
三角锥	triangular pyramid	sān jiǎo zhuī
三言两语	in a few words	sān yán liǎng yǔ
三言兩語	in a few words	sān yán liǎng yǔ
三言兩語	in a few words	sān yán liǎng yǔ
三軍	army	sān jūn
三輪車	tricycle	sān lún chē
三輪車	tricycle	sān lún chē
三輪車	tricycle	sān lún chē
三輪車夫	pedicab driver	sān lún chē fū
三輪車夫	pedicab driver	sān lún chē fū
三輪車夫	pedicab driver	sān lún chē fū
三轮车	tricycle	sān lún chē
三轮车夫	pedicab driver	sān lún chē fū
三边形	triangle	sān biān xíng
三邊形	triangle	sān biān xíng
三部曲	trilogy	sān bù qǔ
三酸甘油酯	triglyceride	sān suān gān yóu zhǐ
三里屯	Sanlitun	sān lǐ tún
三里屯	Sanlitun	sān lǐ tún
三重	treble	sān chóng
三長兩短	unexpected misfortune	sān cháng liǎng duǎn
三長兩短	unexpected misfortune	sān cháng liǎng duǎn
三长两短	unexpected misfortune	sān cháng liǎng duǎn
三隻手	pickpocket	sān zhī shǒu
三頭肌	triceps	sān tóu jī
三頭馬車	troika	sān tóu mǎ chē
三頭馬車	troika	sān tóu mǎ 車
三駕馬車	troika	sān jià mǎ chē
三駕馬車	troika	sān jià mǎ chē
三驾马车	troika	sān jià mǎ chē
三鮮	three fresh ingredients (in cooking)	sān xiān
三鲜	three fresh ingredients (in cooking)	sān xiān
上	on	shǎng
㊤	on	shǎng
上万	over ten thousand	shàng wàn
上上下下	high and low/old and young/everybody	shàng shàng xià xià
上下	about/up and down	shàng xià
上下文	context	shàng xià wén
上下班时间	commuter time	shàng xià bān shí jiān
上下班時間	commuter time	shàng xià bān shí jiān
上个星期	last week	shàng gè xīng qī
上个月	last month	shàng gè yuè
上乘	best quality	shàng chéng
上书	submit a document to one's superior	shàng shū
上交	contact an authority	shàng jiāo
上代	previous generation	shàng dài
上任	to take office	shàng rèn
上传	upload	shàng chuán
上位	top seat	shàng wèi
上位概念	superordinate concept	shàng wèi gài niàn
上位概念	superordinate concept	shàng wèi gài niàn
上來	come up/to come up	shàng lái
上來	come up/to come up	shàng lái
上個星期	last week	shàng gè xīng qī
上個月	last month	shàng gè yuè
上傳	upload	shàng chuán
上到	climb to	shàng dào
上前	go forward	shàng qián
上升	to rise	shàng shēng
上午	morning	shàng wǔ
上半	first half	shàng bàn
上半夜	time before midnight	shàng bàn yè
上半天	morning	shàng bàn tiān
上半晌	morning	shàng bàn shǎng
上去	go up	shàng qù
上古	ancient	shàng gǔ
上台	to go on stage	shàng tái
上司	superior/boss	shàng si
上吊	hang oneself	shàng diào
上周	last week	shàng zhōu
上品	top grade	shàng pǐn
上唇	upper lip	shàng chún
上回	last time	shàng huí
上坡	climb a slope	shàng pō
上坡路	uphill road	shàng pō lù
上坡路	uphill road	shàng pō lù
上夜	be on night duty	shàng yè
上天	God	shàng tiān
上天下地	everywhere/spare no efforts	shàng tiān xià dì
上头	on/above	shàng tóu
上好	first-class	shàng hǎo
上学	attend school/to go to school	shàng xué
上學	attend school/to go to school	shàng xué
上将	air chief marshal/admiral/general	shàng jiàng
上將	air chief marshal/admiral/general	shàng jiàng
上尉	captain	shàng wèi
上层	upper layer	shàng céng
上层建筑	superstructure	shàng céng jiàn zhù
上層	upper layer	shàng céng
上層	upper layer	shàng céng
上層建築	superstructure	shàng céng jiàn zhù
上層建築	superstructure	shàng céng jiàn zhù
上山	die and be buried	shàng shān
上岸	go ashore/land	shàng àn
上工	start work/go to work	shàng gōng
上帝	God	shàng dì
上年	last year	shàng nián
上年	last year	shàng nián
上床	go to bed	shàng chuáng
上座	seat of honor	shàng zuò
上弦	wind	shàng xián
上当	be fooled	shàng dàng
上心	carefully/meticulously	shàng xīn
上手	seat of honor	shàng shǒu
上扬	go up/rise	shàng yáng
上揚	go up/rise	shàng yáng
上文	preceding part of the text	shàng wén
上新世	Pliocene	shàng xīn shì
上方	celestial realm	shàng fāng
上星期	last week	shàng xīng qī
上映	to screen	shàng yìng
上書	submit a document to one's superior	shàng shū
上月	last month	shàng yuè
上来	come up/to come up	shàng lái
上杭	Shanghang	shàng háng
上林	Shanglin	shàng lín
上林	Shanglin	shàng lín
上标	superscript	shàng biāo
上校	colonel	shàng xiào
上楼	go upstairs	shàng lóu
上樓	go upstairs	shàng lóu
